year,month,day,hour,func_day,holiday,°C,°C_dew,humidity,wind_speed,visibility,solar_rad,rainfall,snowfall,season,rented_bike
2017,12,1,0,1,0,-5.2,-17.6,37,2.2,2000,0.0,0.0,0.0,Winter,254
2017,12,1,1,1,0,-5.5,-17.6,38,0.8,2000,0.0,0.0,0.0,Winter,204
2017,12,1,2,1,0,-6.0,-17.7,39,1.0,2000,0.0,0.0,0.0,Winter,173
2017,12,1,3,1,0,-6.2,-17.6,40,0.9,2000,0.0,0.0,0.0,Winter,107
2017,12,1,4,1,0,-6.0,-18.6,36,2.3,2000,0.0,0.0,0.0,Winter,78
2017,12,1,5,1,0,-6.4,-18.7,37,1.5,2000,0.0,0.0,0.0,Winter,100
2017,12,1,6,1,0,-6.6,-19.5,35,1.3,2000,0.0,0.0,0.0,Winter,181
2017,12,1,7,1,0,-7.4,-19.3,38,0.9,2000,0.0,0.0,0.0,Winter,460
2017,12,1,8,1,0,-7.6,-19.8,37,1.1,2000,0.01,0.0,0.0,Winter,930
2017,12,1,9,1,0,-6.5,-22.4,27,0.5,1928,0.23,0.0,0.0,Winter,490
2017,12,1,10,1,0,-3.5,-21.2,24,1.2,1996,0.65,0.0,0.0,Winter,339
2017,12,1,11,1,0,-0.5,-20.2,21,1.3,1936,0.94,0.0,0.0,Winter,360
2017,12,1,12,1,0,1.7,-17.2,23,1.4,2000,1.11,0.0,0.0,Winter,449
2017,12,1,13,1,0,2.4,-15.6,25,1.6,2000,1.16,0.0,0.0,Winter,451
2017,12,1,14,1,0,3.0,-14.6,26,2.0,2000,1.01,0.0,0.0,Winter,447
2017,12,1,15,1,0,2.1,-11.4,36,3.2,2000,0.54,0.0,0.0,Winter,463
2017,12,1,16,1,0,1.2,-7.0,54,4.2,793,0.24,0.0,0.0,Winter,484
2017,12,1,17,1,0,0.8,-6.5,58,1.6,2000,0.08,0.0,0.0,Winter,555
2017,12,1,18,1,0,0.6,-5.0,66,1.4,2000,0.0,0.0,0.0,Winter,862
2017,12,1,19,1,0,0.0,-3.5,77,1.7,2000,0.0,0.0,0.0,Winter,600
2017,12,1,20,1,0,-0.3,-3.5,79,1.5,1913,0.0,0.0,0.0,Winter,426
2017,12,1,21,1,0,-0.8,-3.6,81,0.8,1687,0.0,0.0,0.0,Winter,405
2017,12,1,22,1,0,-0.9,-3.4,83,1.5,1380,0.0,0.0,0.0,Winter,398
2017,12,1,23,1,0,-1.3,-3.6,84,1.0,1265,0.0,0.0,0.0,Winter,323
2017,12,2,0,1,0,-1.8,-3.6,87,1.1,994,0.0,0.0,0.0,Winter,328
2017,12,2,1,1,0,-2.2,-4.2,86,0.6,990,0.0,0.0,0.0,Winter,308
2017,12,2,2,1,0,-2.9,-4.9,86,1.5,1256,0.0,0.0,0.0,Winter,262
2017,12,2,3,1,0,-3.5,-6.2,81,2.2,1221,0.0,0.0,0.0,Winter,167
2017,12,2,4,1,0,-3.8,-6.9,79,2.0,1167,0.0,0.0,0.0,Winter,89
2017,12,2,5,1,0,-4.0,-7.1,79,1.5,1202,0.0,0.0,0.0,Winter,79
2017,12,2,6,1,0,-4.3,-6.9,82,2.1,1178,0.0,0.0,0.0,Winter,70
2017,12,2,7,1,0,-4.4,-7.1,81,2.5,1276,0.0,0.0,0.0,Winter,146
2017,12,2,8,1,0,-4.2,-7.3,79,2.1,1436,0.01,0.0,0.0,Winter,219
2017,12,2,9,1,0,-2.9,-7.9,68,1.6,1487,0.3,0.0,0.0,Winter,328
2017,12,2,10,1,0,-0.4,-7.8,57,1.6,1309,0.8,0.0,0.0,Winter,334
2017,12,2,11,1,0,1.9,-7.7,49,1.8,1406,1.0,0.0,0.0,Winter,388
2017,12,2,12,1,0,4.3,-7.8,41,1.3,1666,1.09,0.0,0.0,Winter,479
2017,12,2,13,1,0,6.0,-7.9,36,1.8,1780,1.12,0.0,0.0,Winter,606
2017,12,2,14,1,0,7.3,-7.1,35,1.3,1955,0.99,0.0,0.0,Winter,611
2017,12,2,15,1,0,7.6,-4.8,41,2.3,1953,0.74,0.0,0.0,Winter,589
2017,12,2,16,1,0,6.4,-3.8,48,2.6,1945,0.22,0.0,0.0,Winter,618
2017,12,2,17,1,0,6.0,-3.3,51,2.5,1891,0.06,0.0,0.0,Winter,572
2017,12,2,18,1,0,5.5,-3.3,53,1.5,1697,0.0,0.0,0.0,Winter,489
2017,12,2,19,1,0,5.0,-4.0,52,2.3,1666,0.0,0.0,0.0,Winter,385
2017,12,2,20,1,0,4.6,-4.6,51,1.2,1585,0.0,0.0,0.0,Winter,359
2017,12,2,21,1,0,4.1,-4.1,55,1.2,1448,0.0,0.0,0.0,Winter,377
2017,12,2,22,1,0,3.5,-4.9,54,1.5,1446,0.0,0.0,0.0,Winter,354
2017,12,2,23,1,0,4.0,-4.0,56,1.0,1352,0.0,0.0,0.0,Winter,366
2017,12,3,0,1,0,4.0,-3.5,58,1.4,1296,0.0,0.0,0.0,Winter,342
2017,12,3,1,1,0,3.9,-1.2,69,1.7,485,0.0,0.0,0.0,Winter,227
2017,12,3,2,1,0,3.3,0.0,79,1.4,830,0.0,0.0,0.0,Winter,228
2017,12,3,3,1,0,3.4,-1.3,71,1.6,1011,0.0,0.5,0.0,Winter,117
2017,12,3,4,1,0,3.5,-0.8,73,1.0,1060,0.0,0.0,0.0,Winter,76
2017,12,3,5,1,0,3.9,-0.1,75,1.9,914,0.0,0.0,0.0,Winter,32
2017,12,3,6,1,0,3.4,1.2,86,2.5,278,0.0,1.0,0.0,Winter,13
2017,12,3,7,1,0,3.1,1.7,91,1.2,129,0.0,0.0,0.0,Winter,22
2017,12,3,8,1,0,3.2,2.0,92,1.8,244,0.0,0.0,0.0,Winter,85
2017,12,3,9,1,0,3.5,2.1,91,1.8,231,0.02,2.5,0.0,Winter,152
2017,12,3,10,1,0,4.4,2.7,89,2.2,257,0.24,0.0,0.0,Winter,200
2017,12,3,11,1,0,5.1,3.1,87,1.4,321,0.25,0.0,0.0,Winter,273
2017,12,3,12,1,0,5.8,3.4,85,1.7,349,0.43,0.0,0.0,Winter,333
2017,12,3,13,1,0,6.8,3.7,81,1.9,390,0.6,0.0,0.0,Winter,495
