season,day_div,holiday,°C,humidity,solar_rad,wind_speed,visibility,rain/snow,rented_bike
Winter,madrugada,1,-3.2,40,0.0,0.5,1358,0,206
Winter,madrugada,1,-3.3,41,0.0,0.7,2000,0,230
Winter,madrugada,1,-3.7,42,0.0,0.9,2000,0,178
Winter,madrugada,1,-4.0,44,0.0,1.0,2000,0,119
Winter,madrugada,1,-4.2,53,0.0,1.1,1994,0,62
Winter,madrugada,1,-4.4,54,0.0,0.8,1786,0,61
Winter,madrugada,1,-4.5,51,0.0,1.1,2000,0,65
Winter,mañana,1,-4.7,56,0.0,1.1,2000,0,81
Winter,mañana,1,-5.0,55,0.0,1.0,2000,0,89
Winter,mañana,1,-4.3,39,0.15,0.7,1973,0,121
Winter,mañana,1,-1.6,32,0.53,0.8,1766,0,139
Winter,mañana,1,0.1,27,0.84,2.2,1874,0,169
Winter,mañana,1,1.5,20,1.03,2.8,1992,0,225
Winter,tarde,1,2.4,22,1.1,2.3,1921,0,248
Winter,tarde,1,3.7,24,1.01,2.1,1906,0,298
Winter,tarde,1,3.0,27,0.78,2.9,1715,0,344
Winter,tarde,1,3.0,28,0.51,2.5,1864,0,310
Winter,tarde,1,1.8,33,0.18,3.3,1913,0,271
Winter,tarde,1,0.8,34,0.01,1.9,1887,0,218
Winter,noche,1,-0.1,39,0.0,1.3,1911,0,125
Winter,noche,1,-0.3,40,0.0,1.2,1936,0,206
Winter,noche,1,-0.9,44,0.0,1.2,1871,0,203
Winter,noche,1,-1.3,48,0.0,0.8,1927,0,168
Winter,noche,1,-1.6,51,0.0,0.7,1882,0,154
Winter,madrugada,0,-1.8,54,0.0,1.1,1772,0,148
Winter,madrugada,0,-2.1,56,0.0,0.8,1732,0,108
Winter,madrugada,0,-2.3,62,0.0,0.9,1560,0,69
Winter,madrugada,0,-2.5,62,0.0,0.4,1626,0,41
Winter,madrugada,0,-2.7,67,0.0,0.5,1302,0,31
Winter,madrugada,0,-3.1,67,0.0,0.6,1384,0,58
Winter,madrugada,0,-3.2,67,0.0,0.4,1409,0,139
Winter,mañana,0,-3.2,69,0.0,0.5,1249,0,344
Winter,mañana,0,-3.4,71,0.0,0.8,1179,0,655
Winter,mañana,0,-3.1,66,0.12,0.2,1168,0,315
Winter,mañana,0,-1.4,50,0.38,1.9,1355,0,208
Winter,mañana,0,-0.4,40,0.66,2.3,1633,0,269
Winter,mañana,0,0.9,29,0.88,1.9,1761,0,293
Winter,tarde,0,1.5,23,0.95,3.6,1970,0,273
Winter,tarde,0,1.7,20,0.91,4.4,1995,0,302
Winter,tarde,0,1.5,22,0.76,3.0,1998,0,295
Winter,tarde,0,1.3,23,0.51,2.9,2000,0,320
Winter,tarde,0,0.3,27,0.18,2.6,2000,0,373
Winter,tarde,0,-0.8,24,0.01,2.3,2000,0,675
Winter,noche,0,-1.3,28,0.0,2.4,2000,0,403
Winter,noche,0,-1.9,26,0.0,2.2,2000,0,364
Winter,noche,0,-2.6,28,0.0,2.0,2000,0,304
Winter,noche,0,-3.4,33,0.0,2.4,2000,0,273
Winter,noche,0,-3.8,35,0.0,2.3,2000,0,186
Winter,madrugada,0,-4.3,38,0.0,1.4,2000,0,160
Winter,madrugada,0,-5.0,42,0.0,1.2,1993,0,130
Winter,madrugada,0,-5.5,43,0.0,2.0,2000,0,110
Winter,madrugada,0,-6.1,45,0.0,1.3,1999,0,67
Winter,madrugada,0,-6.1,45,0.0,2.3,2000,0,43
Winter,madrugada,0,-6.4,47,0.0,2.4,1981,0,67
Winter,madrugada,0,-6.7,48,0.0,2.4,1991,0,137
Winter,mañana,0,-6.9,48,0.0,2.4,1974,0,308
Winter,mañana,0,-7.0,49,0.0,1.5,1971,0,670
Winter,mañana,0,-6.8,44,0.16,1.7,1858,0,342
Winter,mañana,0,-5.6,38,0.55,2.9,1752,0,213
Winter,mañana,0,-4.5,36,0.77,3.2,1736,0,267
Winter,mañana,0,-3.4,32,1.02,3.1,1706,0,297
Winter,tarde,0,-2.2,31,1.13,2.3,1910,0,279
Winter,tarde,0,-1.5,30,1.1,2.8,1903,0,270
Winter,tarde,0,-1.1,29,0.96,2.8,1976,0,286
Winter,tarde,0,-0.4,30,0.62,2.0,2000,0,299
Winter,tarde,0,-1.9,35,0.25,1.8,2000,0,382
Winter,tarde,0,-3.1,39,0.0,2.1,2000,0,637
Winter,noche,0,-3.7,41,0.0,2.0,2000,0,431
Winter,noche,0,-3.9,44,0.0,2.5,2000,0,294
Winter,noche,0,-4.3,47,0.0,2.8,1997,0,335
Winter,noche,0,-5.2,53,0.0,1.3,1969,0,291
Winter,noche,0,-5.9,54,0.0,0.8,1968,0,197
Winter,madrugada,0,-6.3,54,0.0,1.4,1990,0,159
Winter,madrugada,0,-6.9,56,0.0,2.3,1994,0,150
Winter,madrugada,0,-7.3,57,0.0,2.0,1978,0,123
Winter,madrugada,0,-7.4,54,0.0,1.7,1968,0,57
Winter,madrugada,0,-7.5,55,0.0,1.3,1984,0,38
Winter,madrugada,0,-7.6,49,0.0,1.3,2000,0,66
Winter,madrugada,0,-7.6,47,0.0,2.3,2000,0,120
Winter,mañana,0,-8.1,51,0.0,0.5,1987,0,302
Winter,mañana,0,-8.6,55,0.0,0.6,1984,0,646
Winter,mañana,0,-7.9,48,0.14,1.2,1926,0,340
Winter,mañana,0,-6.4,43,0.43,1.0,1872,0,197
Winter,mañana,0,-4.4,40,0.69,0.8,1671,0,264
Winter,mañana,0,-2.9,33,0.92,0.9,1813,0,290
Winter,tarde,0,-2.0,32,0.91,1.0,1864,0,284
Winter,tarde,0,-0.8,32,0.78,1.4,1846,0,262
Winter,tarde,0,-1.2,31,0.47,0.8,1732,0,281
Winter,tarde,0,-1.4,34,0.3,1.8,1719,0,309
Winter,tarde,0,-2.1,37,0.09,1.4,1591,0,397
Winter,tarde,0,-2.6,38,0.0,1.4,1604,0,603
Winter,noche,0,-2.7,39,0.0,1.4,1616,0,417
Winter,noche,0,-2.8,39,0.0,1.7,1702,0,311
Winter,noche,0,-3.1,41,0.0,2.0,1742,0,310
Winter,noche,0,-3.6,46,0.0,1.3,1689,0,306
Winter,noche,0,-4.0,48,0.0,1.5,1536,0,221
Winter,madrugada,0,-4.7,52,0.0,1.8,1611,0,202
Winter,madrugada,0,-5.1,51,0.0,1.5,1550,0,170
Winter,madrugada,0,-5.3,52,0.0,1.6,1481,0,118
Winter,madrugada,0,-5.5,56,0.0,1.1,1453,0,67
Winter,madrugada,0,-5.1,55,0.0,1.7,1266,0,47
Winter,madrugada,0,-5.1,55,0.0,1.5,1452,0,75
Winter,madrugada,0,-5.1,54,0.0,1.3,1346,0,123
Winter,mañana,0,-5.3,53,0.0,1.1,1300,0,327
Winter,mañana,0,-5.3,51,0.0,1.0,1319,0,665
Winter,mañana,0,-4.7,49,0.12,1.2,1550,0,354
Winter,mañana,0,-3.3,50,0.4,1.3,1407,0,232
Winter,mañana,0,-0.7,45,0.76,1.5,1429,0,308
Winter,mañana,0,-0.3,45,1.01,2.2,1066,0,362
Winter,tarde,0,0.9,43,0.98,2.0,1112,0,312
Winter,tarde,0,1.4,41,0.99,2.0,1003,0,343
Winter,tarde,0,1.5,34,0.84,2.8,1776,0,333
Winter,tarde,0,1.0,34,0.61,2.9,2000,0,329
Winter,tarde,0,-0.6,45,0.24,3.3,1827,0,446
Winter,tarde,0,-1.8,44,0.01,2.2,1709,0,635
Winter,noche,0,-2.5,49,0.0,0.6,1436,0,443
Winter,noche,0,-3.4,51,0.0,1.1,1391,0,322
Winter,noche,0,-3.5,53,0.0,0.9,1353,0,284
Winter,noche,0,-3.8,53,0.0,1.3,1300,0,281
Winter,noche,0,-3.6,50,0.0,1.9,1284,0,189
Winter,madrugada,0,-4.3,52,0.0,1.6,1247,0,184
Winter,madrugada,0,-4.8,54,0.0,1.2,1219,0,222
Winter,madrugada,0,-5.5,56,0.0,1.4,1285,0,176
